<OOV> 1.0	OOV
شبہ 1.0	SH U B AA
بحیثیت 1.0	B A H AY S I J J A T_D
مجموعی 1.0	M A D_ZZ M UU II
گلستان 1.0	G U L I S T_D AA N
مصداق 1.0	M I S D_D AA Q
گزرے 1.0	G U Z R AE
دیکھو 1.0	D_D AE K_H OO
سوزش 1.0	S OO Z I SH
شیر 1.0	SH AE R
حلیہ 1.0	H U L J AA
بنا 1.0	B A N AA
بلکہ 1.0	B A L K AE
دھاڑ 1.0	D_D_H AA RR
لومڑ 1.0	L UU M A RR
چوزے 1.0	T_SH UU Z AE
چیخنے 1.0	T_SH II X N AE
لگے 1.0	L A G AE
انہوں 1.0	I N H OON
ٹیچنگ 1.0	TT II T_SH I NG
ہاؤسنگ 1.0	H AA UU S I NG
ہیلتھ 1.0	H AY L T_D_H
تنقیص 1.0	T_D A N Q II S
دیکھی 1.0	D_D AE K_H II
نااہلیت 1.0	N AA E H L I J A T_D
بخدمت 1.0	B A X I D_D M A T_D
فنانس 1.0	F I N AA N S
وزیر 1.0	V A Z II R
درخواست 1.0	D_D A R X AA S T_D
لکھی 1.0	L I K_H II
رقیہ 1.0	R U Q J AA
زرخیز 1.0	Z A R X AE Z
ہرادھنیا 1.0	H A R AA D_D_H A N J AA
بویا 1.0	B OO J AA
تفاوت 1.0	T_D A F AA V U T_D
ختم 1.0	X A T_D M
شہزادی 1.0	SH A H Z AA D_D II
نذر 1.0	N U Z U R
مغیث 1.0	M U 7 II S
یقیناً 1.0	J A Q I N A N
کافی 1.0	K AA F II
تذبذب 1.0	T_D A Z A B Z U B
بَلّا 1.0	B I L AA
اٹھایا 1.0	U TT_H AA J AA
آگے 1.0	AA G AE
چلو 1.0	T_SH A L OO
کھیلیں 1.0	K_H AE L AEN
سکولوں 1.0	S A K UU L OON
یگانگت 1.0	J A G AA NG G A T_D
متعارف 1.0	M U T_D A AA R A F
کروانے 1.0	K A R V AA N AE
طالب 1.0	T_D AA L I B
جوش 1.0	D_ZZ OO SH
و 1.0	OO
خروش 1.0	X U R UU SH
اٹھیں 1.0	U TT_H AEN
گے 1.0	G AE
اخبارنویسوں 1.0	A X B AA R N A V II S OON
گلیشئر 1.0	G A L AE SH I A R
پھسل 1.0	P_H I S A L
بیلچہ 1.0	B AE L T_SH AA
گرنے 1.0	G I R N AE
واقعے 1.0	V AA Q I AE
اچھال 1.0	U T_SH_H AA L
بھوت 1.0	B_H UU T_D
وحشت 1.0	V A H SH A T_D
معمہ 1.0	M U I M M AA
پریوں 1.0	P A R J OON
چہروں 1.0	T_SH AE H R OON
شوخی 1.0	SH OO X II
فوبیا 1.0	F OO B I J AA
کوئی 1.0	K OO II
بلدیاتی 1.0	B A L D_D I J AA T_D II
چیلہ 1.0	T_SH AE L AA
مچھر 1.0	M A T_SH_H T_SH_H A R
دفاع 1.0	D_D I F AA
پاسداری 1.0	P AA S D_D AA R II
ہنگامہ 1.0	H A NG G AA M AA
خیز 1.0	X AE Z
پیشکش 1.0	P AE SH K A SH
کرے 1.0	K U R AE
سوویں 1.0	S OO V AEN
صفحے 1.0	S A F H AE
نچلے 1.0	N I T_SH L AE
حصے 1.0	H I S S AE
قرضے 1.0	Q A R Z AE
اوقات 1.0	O Q AA T_D
دیکھیں 1.0	D_D AE K_H AEN
معصوم 1.0	M AA S UU M
خفگی 1.0	X A F A G II
رخساروں 1.0	R U X S AA R OON
پنکھڑی 1.0	P A N K_H RR II
پھیر 1.0	P_H AE R
امیگریشن 1.0	I M II G I R AE SH A N
ٹوفل 1.0	TT O F I L
پروگرام 1.0	P A R OO G A R AA M
ازسرنو 1.0	A Z S A R AE N O
ترویج 1.0	T_D A R V II D_ZZ
بالواسطہ 1.0	B I L V AA S I T_D AA
غور 1.0	7 O R
فکر 1.0	F I K R
موجزن 1.0	M O D_ZZ Z A N
کسی 1.0	K A S II
درسگاہ 1.0	D_D A R S G AA
خوارزمی 1.0	X U V AA R Z A M II
کتابیں 1.0	K I T_D AA B AEN
کتابچے 1.0	K I T_D AA B T_SH AE
باب 1.0	B AA B
ڈگری 1.0	DD I G R II
فوقیت 1.0	F O Q I J J A T_D
رکھتے 1.0	R A K_H T_D AE
اطالوی 1.0	I T_D AA L V II
مہمانان 1.0	M E H M AA N AA N
سیاح 1.0	S AY J AA
مجلس 1.0	M A D_ZZ L I S
ٹیبلو 1.0	TT AY B L OO
کامیڈی 1.0	K AA M AE DD II
اجزا 1.0	A D_ZZ Z AA
دیکھتے 1.0	D_D AE K_H T_D AE
ندوی 1.0	N A D_D V II
انشورنس 1.0	I N SH OO R I N S
انٹلیکچوئل 1.0	I N TT L AY K T_SH UU I L
تفرقہ 1.0	T_D A F R I Q AA
میثاق 1.0	M II S AA Q
مذہبی 1.0	M A Z H A B II
حدود 1.0	H U D_D UU D_D
رہیں 1.0	R A H AEN
محافظوں 1.0	M U H AA F I Z OON
عہدیداروں 1.0	U H D_D AE D_D AA R OON
نرغے 1.0	N A R 7 AE
پریس 1.0	P A R E S
پہنچوں 1.0	P U H N T_SH UUN
اشرف 1.0	A SH R A F
زاید 1.0	Z AA J I D_D
فیصلوں 1.0	F AY S L OON
نظرثانی 1.0	N A Z A R AE S AA N II
کراؤں 1.0	K A R AA UUN
اخروٹ 1.0	A X R OO TT
چھلکے 1.0	T_SH_H I L K AE
انار 1.0	A N AA R
گٹھلیاں 1.0	G U TT_H L I J AAN
دودھ 1.0	D_D UU D_D_H
بھگوئیں 1.0	B_H I G OO AEN
اسہال 1.0	I S H AA L
افزودگی 1.0	A F Z UU D_D A G II
بچی 1.0	B A T_SH II
دلشاد 1.0	D_D I L SH AA D_D
جکھرانی 1.0	D_ZZ A K_H R AA N II
برعظیم 1.0	B A R R AE A Z II M
پروسیسنگ 1.0	P A R OO S AY S I NG
فارمولے 1.0	F AA R M UU L AE
افادہ 1.0	I F AA D_D AA
مسترد 1.0	M U S T_D A R A D_D
بچّو 1.0	B A T_SH OO
جامعہ 1.0	D_ZZ AA M I AA
اسٹورز 1.0	I S TT OO R Z
ارشد 1.0	A R SH A D_D
علوی 1.0	U L V II
چاول 1.0	T_SH AA V A L
یخنی 1.0	J A X N II
چلغوزے 1.0	T_SH I L 7 OO Z AE
لاؤ 1.0	L AA OO
دلبرداشتہ 1.0	D_D I L B A R D_D AA SH T_D AA
خواتین 1.0	X A V AA T_D II N
چونگی 1.0	T_SH UUN G II
آرڈیننس 1.0	AA R DD II N I N S
سیل 1.0	S II L
پوائنٹ 1.0	P U V AA I N TT
مرچوں 1.0	M I R T_SH OON
دوسری 1.0	D_D UU S R II
لائن 1.0	L AA I N
مصروف 1.0	M A S R UU F
نیلوفر 1.0	N II L OO F A R
کوہستان 1.0	K OO H I S T_D AA N
دشمن 1.0	D_D U SH M A N
فوجی 1.0	F O D_ZZ II
جدوجہد 1.0	D_ZZ I D_D OO D_ZZ A H D_D
سَیل 1.0	S II L
رہزنی 1.0	R A H Z A N II
تشویش 1.0	T_D A SH V II SH
کوریوگرافر 1.0	K OO R II OO G A R AA F A R
ہذیانی 1.0	H A Z J AA N II
ایتھرنیٹ 1.0	AY T_D_H A R N AE TT
ہسپانوی 1.0	H A S P AA N I V II
مہربانی 1.0	M AE H R B AA N II
اعانت 1.0	AE AA N A T_D
وسائل 1.0	V A S AA I L
بلاخوف 1.0	B I L AA X O F
کھیلے 1.0	K_H AE L AE
حسین 1.0	H A S II N
عقیل 1.0	A Q II L
رندھاوا 1.0	R A N D_D_H AA V AA
اصل 1.0	A S L
دریچوں 1.0	D_D A R II T_SH OON
ایندھن 1.0	II N D_D_H A N
بکھیرنے 1.0	B A K_H AE R N AE
وجہ 1.0	V A D_ZZ AA
ٹریولرز 1.0	TT A R AY V L A R Z
سیفٹی 1.0	S AE F TT II
انسولیشن 1.0	I N S OO L AE SH A N
مذاکرات 1.0	M U Z AA K A R AA T_D
کیے 1.0	K II AE
سوختہ 1.0	S OO X T_D AA
گرداں 1.0	G A R D_D AAN
ادیبوں 1.0	A D_D II B OON
ملفوظات 1.0	M A L F UU Z AA T_D
چاشنی 1.0	T_SH AA SH N II
ہنوز 1.0	H U N UU Z
اشاعت 1.0	I SH AA A T_D
محروم 1.0	M A H R UU M
مادھو 1.0	M AA D_D_H O
لیڈز 1.0	L AY DD Z
کاندھلوی 1.0	K AA N D_D_H A L A V II
جونیئر 1.0	D_ZZ UU N II A R
ناشتہ 1.0	N AA SH T_D AA
والوں 1.0	V AA L OON
خلاف 1.0	X I L AA F
پردھان 1.0	P A R D_D_H AA N
زیرعنوان 1.0	Z AE R AE U N V AA N
گھوسٹ 1.0	G_H OO S TT
قرارداد 1.0	Q A R AA R D_D AA D_D
دی 1.0	D_D II
گوٹھوں 1.0	G OO TT_H OON
کھدائی 1.0	K_H U D_D AA II
مصحفی 1.0	M U S H A F II
کھوکھلا 1.0	K_H OO K_H L AA
آسرا 1.0	AA S R AA
غیرقانونی 1.0	7 AY R Q AA N UU N II
تیروں 1.0	T_D AY R UUN
کثرت 1.0	K A S R A T_D
کچلا 1.0	K U T_SH L AA
قصوروار 1.0	Q U S UU R V AA R
صیاد 1.0	S E J J AA D_D
داغدار 1.0	D_D AA 7 D_D AA R
نوحہ 1.0	N O H AA
جعلی 1.0	D_ZZ AA L II
غنودگی 1.0	7 U N UU D_D A G II
ہرگز 1.0	H A R G I Z
چونکا 1.0	T_SH O N K AA
تھا 1.0	T_D_H AA
تنظیم 1.0	T_D A N Z II M
آزادی 1.0	AA Z AA D_D II
جلسے 1.0	D_ZZ A L S AE
مخالفوں 1.0	M U X AA L I F OON
تاثرات 1.0	T_D AA S S U R AA T_D
سدباب 1.0	S A D_D D_D AE B AA B
آنگن 1.0	AA NG G A N
باغیوں 1.0	B AA 7 II OON
ہتھیار 1.0	H A T_D_H J AA R
بجائے 1.0	B A D_ZZ AA AE
ہوشمندی 1.0	H OO SH M A N D_D II
نمٹیں 1.0	N I M TT AEN
ایوان 1.0	AY V AA N
جاگیرداروں 1.0	D_ZZ AA G II R D_D AA R OON
وڈیروں 1.0	V A DD AE R OON
پرائیوٹائزیشن 1.0	P A R AA II V TT AA I Z J SH A N
معاہدے 1.0	M U AA H A D_D AE
معاوضوں 1.0	M U AA V A Z OON
ایجوکیشن 1.0	AY D_ZZ UU K AE SH A N
نشرواشاعت 1.0	N A SH R OO I SH AA A T_D
برطانوی 1.0	B A R T_D AA N V II
آسٹریلوی 1.0	AA S TT A R AE L V II
مدمقابل 1.0	M A D_D D_D AE M U Q AA B I L
نوآبادیاتی 1.0	N O AA B AA D_D I J AA T_D II
کونسل 1.0	K O N S A L
ایگزیکٹو 1.0	AY G Z AY K I TT I V
ایری 1.0	E R II
لنگا 1.0	L U NG G AA
ٹیکنالوجی 1.0	TT E K N AA L OO D_ZZ II
قرضوں 1.0	Q A R Z OON
برقرار 1.0	B A R Q A R AA R
رکھا 1.0	R A K K_H AA
ورلڈکپ 1.0	V A R L DD K A P
اقوام 1.0	A Q V AA M
افسوسناک 1.0	A F S OO S N AA K
تناؤ 1.0	T_D A N AA OO
انگیخت 1.0	A NG G AE X T_D
ہیچ 1.0	H AE T_SH
دنیا 1.0	D_D U N J AA
شگفتہ 1.0	SH A G U F T_D AA
کلچر 1.0	K A L T_SH A R
بیدار 1.0	B AE D_D AA R
ریحانہ 1.0	R AY H AA N AA
رقاصاؤں 1.0	R A Q Q AA S AA OON
بےجا 1.0	B AE D_ZZ AA
بحثیں 1.0	B E H S AEN
شروع 1.0	SH U R UU
کیں 1.0	K IIN
رباب 1.0	R U B AA B
طفیل 1.0	T_D U F AY L
غیردانشمندانہ 1.0	7 AY R D_D AA N I SH M A N D_D AA N AA
فیصلے 1.0	F AY S L AE
دہندگان 1.0	D_D I H I N D_D G AA N
توقعات 1.0	T_D A V A Q Q U AA T_D
جذبات 1.0	D_ZZ A Z B AA T_D
پژمردہ 1.0	P A ZZ M U R D_D AA
بدقسمتی 1.0	B A D_D Q I S M A T_D II
شگاف 1.0	SH I G AA F
فٹ 1.0	F I TT
گولائی 1.0	G O L AA II
تبدیل 1.0	T_D A B D_D II L
لہذا 1.0	L I H AA Z AA
بند 1.0	B A N D_D
کرواؤ 1.0	K A R V AA OO
شواہد 1.0	SH A V AA H I D_D
انفلوئنزا 1.0	I N F I L UU I N Z AA
ہومیوپیتھک 1.0	H OO M II OO P AY T_D_H I K
تدابیر 1.0	T_D A D_D AA B II R
بھونڈی 1.0	B_H OO N DD II
بس 1.0	B A S
جونہی 1.0	D_ZZ UUN H II
سی 1.0	S II
پچاسویں 1.0	P A T_SH AA S V AEN
حاشیے 1.0	H AA SH II AE
لینتھ 1.0	L E N T_D_H
تیسرے 1.0	T_D II S R AE
شعوری 1.0	SH U UU R II
مماثل 1.0	M U M AA S I L
ہندوستانی 1.0	H I N D_D UU S T_D AA N II
ہوزری 1.0	H O Z A R II
انجنیئر 1.0	I N D_ZZ I N II A R
تاجر 1.0	T_D AA D_ZZ I R
چوروں 1.0	T_SH OO R OON
پھنسے 1.0	P_H A N S AE
یوریا 1.0	J UU R J AA
چھاؤنی 1.0	T_SH_H A UU N II
لونگ 1.0	L O NG
باغوں 1.0	B AA 7 OON
بچایا 1.0	B A T_SH AA J AA
کبیر 1.0	K A B II R
بڑھئی 1.0	B A RR_H A II
شہرہ 1.0	SH OO H R AA
فیم 1.0	F AE M
ہی 1.0	H II
معیشت 1.0	M A II SH A T_D
بھروسہ 1.0	B_H A R OO S AA
پروفیسر 1.0	P A R OO F AY S A R
طیب 1.0	T_D AY J A B
لائبریرین 1.0	L AA I B R AE R J A N
یونیورسٹی 1.0	J UU N II V A R S I TT II
منیجنگ 1.0	M A N AE D_ZZ I NG
ایکویٹی 1.0	AY K OO J I TT II
عمیق 1.0	A M II Q
معائنہ 1.0	M U AA I N AA
بعض 1.0	B AA Z
بارونق 1.0	B AA R O N A Q
خیمے 1.0	X AY M AE
پھیل 1.0	P_H AY L
قدوقامت 1.0	Q A D_D OO Q AA M A T_D
بڑھ 1.0	B A RR_H
ہر 1.0	H A R
اناڑی 1.0	A N AA RR II
راہگیر 1.0	R AA H G II R
سپاسنامہ 1.0	S I P AA S N AA M AA
لے 1.0	L AE
معاشیات 1.0	M U AA SH I J AA T_D
معلم 1.0	M AA L A M
سمجھنے 1.0	S A M A D_ZZ_H N AE
لگا 1.0	L A G AA
چودھرائن 1.0	T_SH O D_D_H R AA I N
بوڑھے 1.0	B UU RR_H AE
ماچھی 1.0	M AA T_SH_H II
رساؤ 1.0	R A S AA OO
افضل 1.0	A F Z A L
عیادت 1.0	I J AA D_D A T_D
بھیجنے 1.0	B_H AE D_ZZ N AE
سوچا 1.0	S OO T_SH AA
ازبک 1.0	U Z B A K
صبروتحمل 1.0	S A B R OO T_D A H A M M U L
برس 1.0	B I R A S
قیام 1.0	Q I J AA M
پرسکون 1.0	P U R S U K UU N
مالدار 1.0	M AA L D_D AA R
عالیشان 1.0	AA L II SH AA N
وزارت 1.0	V I Z AA R A T_D
حفیظ 1.0	H A F II Z
خیلوی 1.0	X AE L V II
تساہل 1.0	T_D A S AA H U L
زنگ 1.0	Z A NG
آلود 1.0	AA L UU D_D
منفرد 1.0	M U N F A R I D_D
ناول 1.0	N AA V I L
دھینگا 1.0	D_D_H II NG G AA
مشتی 1.0	M UU SH T_D II
تشدد 1.0	T_D A SH A D_D D_D U D_D
برعکس 1.0	B A R A K S
منشور 1.0	M A N SH UU R
مقصود 1.0	M A Q S UU D_D
معجزے 1.0	M U D_ZZ I Z AE
پیدائش 1.0	P AY D_D AA I SH
ہوتی 1.0	H OO T_D II
خواہش 1.0	X AA H I SH
دلوں 1.0	D_D I L OON
خودسر 1.0	X U D_D S A R
جنگجو 1.0	D_ZZ A NG D_ZZ UU
دیتی 1.0	D_D AE T_D II
جمشید 1.0	D_ZZ A M SH AE D_D
بےاختیار 1.0	B AE I X T_D I J AA R
ویسے 1.0	V AY S AE
آدھے 1.0	AA D_D_H AE
کیچڑ 1.0	K II T_SH A RR
پہنچ 1.0	P A H U N T_SH
حالانکہ 1.0	H AA L AAN K AE
ہمارے 1.0	H A M AA R AE
ہجوم 1.0	H U D_ZZ UU M
چمن 1.0	T_SH A M A N
منظور 1.0	M A N Z UU R
شدہ 1.0	SH U D_D AA
مینوفیکچرز 1.0	M AY N OO F AY K T_SH A R Z
انکلوژر 1.0	I N K A L OO ZZ A R
نوعی 1.0	N O II
ذریعے 1.0	Z A R II AE
منہدم 1.0	M U N H A D_D I M
طاغوتی 1.0	T_D AA 7 UU T_D II
مواصلات 1.0	M U V AA S A L AA T_D
معاندانہ 1.0	M U AA N I D_D AA N AA
طرزفکر 1.0	T_D A R Z AE F I K R
مسلسل 1.0	M U S A L S A L
ڈیزاسٹر 1.0	DD II Z AA S TT A R
اجاڑ 1.0	U D_ZZ AA RR
دیباچے 1.0	D_D II B AA T_SH AE
ہجرت 1.0	H I D_ZZ R A T_D
ایڈز 1.0	AE DD Z
جیسی 1.0	D_ZZ AY S II
بھیانک 1.0	B_H A J AA N A K
ڈراؤنی 1.0	DD A R A OO N II
مرض 1.0	M A R A Z
ایلیمنٹری 1.0	AY L II M A N TT A R II
روئیداد 1.0	R UU II D_D AA D_D
صبغت 1.0	S I B 7 A T_D
انیق 1.0	A N II Q
فرخی 1.0	F A R R U X II
ڈیکلریشن 1.0	DD II K L I R AE SH A N
نمبر 1.0	N A M B A R
موقر 1.0	M UU Q A R
زخمی 1.0	Z A X M II
دلجوئی 1.0	D_D I L D_ZZ UU II
روسی 1.0	R UU S II
انٹیلیجینس 1.0	I N TT AY L II D_ZZ AY N S
میخائل 1.0	M II X AA I L
وولر 1.0	V UU L A R
متعلق 1.0	M U T_D A A L L I Q
عملا 1.0	A M L A N
رقیب 1.0	R A Q II B
تھی 1.0	T_D_H II
کروڑوں 1.0	K A R OO RR OON
ڈیزائنروں 1.0	DD II Z AA I N R OON
سائبان 1.0	S AA AE B AA N
بیسمنٹ 1.0	B AE S M E N TT
بغدادی 1.0	B A 7 D_D AA D_D II
سازوسامان 1.0	S AA Z OO S AA M AA N
آڑ 1.0	AA RR
زیورات 1.0	Z AE V R AA T_D
خریدے 1.0	X A R II D_D AE
لابنگ 1.0	L AA B I NG
بیورو 1.0	B II OO R OO
غیررسمی 1.0	7 AY R R A S M II
گرمجوشی 1.0	G A R A M D_ZZ OO SH II
ڈونرز 1.0	DD OO N A R Z
آزمائیں 1.0	AA Z M AA AEN
محققین 1.0	M U H A Q Q A Q II N
متفقہ 1.0	M U T_D T_D A F I Q AA
باؤنڈری 1.0	B AA UU N DD R II
تاریخ 1.0	T_D AA R II X
نظروں 1.0	N A Z R OON
رکھی 1.0	R A K K_H II
باورچی 1.0	B AA V A R T_SH II
ٹیکنیشنز 1.0	TT AY K N II SH A N Z
چلچلاتی 1.0	T_SH I L T_SH I L AA T_D II
دھوپ 1.0	D_D_H UU P
ادویات 1.0	A D_D V I J AA T_D
پریشاں 1.0	P A R AE SH AAN
والدین 1.0	V AA L I D_D AY N
محبت 1.0	M A H A B B A T_D
فیملی 1.0	F AY M L II
تقویت 1.0	T_D A Q V I J A T_D
موجب 1.0	M UU D_ZZ A B
آج 1.0	AA D_ZZ
گورنر 1.0	G A V A R N A R
غربت 1.0	7 U R B A T_D
تنگدستی 1.0	T_D A NG D_D A S T_D II
باعث 1.0	B AA I S
اپیلیں 1.0	A P II L AEN
رعائتیں 1.0	R I AA AE T_D AEN
مولوی 1.0	M OO L V II
منیب 1.0	M U N II B
بخاری 1.0	B U X AA R II
عجلت 1.0	U D_ZZ L A T_D
قیوم 1.0	Q AY J UU M
گورنمنٹ 1.0	G A V A R N M I N TT
آفیشلز 1.0	AA F II SH A L Z
ملے 1.0	M I L AE
شاہد 1.0	SH AA H I D_D
دلخراش 1.0	D_D I L X A R AA SH
مہیب 1.0	M U H II B
تنزلی 1.0	T_D A N A Z Z U L II
قبول 1.0	Q U B UU L
سکتے 1.0	S A K T_D AE
اگر 1.0	A G A R
لفظی 1.0	L A F Z II
دانشور 1.0	D_D AA N I SH V A R
کھلواڑ 1.0	K_H A L V AA RR
شہریوں 1.0	SH E H R II OON
احتجاج 1.0	AE H T_D AE D_ZZ AA D_ZZ
فتحیاب 1.0	F A T_D H J AA B
مجوزہ 1.0	M U D_ZZ A V V A Z AA
تشبیہ 1.0	T_D A SH B II
تلمیحات 1.0	T_D A L M II H AA T_D
لینگویج 1.0	L AY NG V II D_ZZ
شعروادب 1.0	SH AE R OO A D_D A B
وجدان 1.0	V I D_ZZ D_D AA N
صداقت 1.0	S A D_D AA Q A T_D
مولانا 1.0	M OO L AA N AA
خالد 1.0	X AA L I D_D
شمسی 1.0	SH A M S II
لاہوریات 1.0	L AA H O R I J AA T_D
عنوان 1.0	U N V AA N
سیاحت 1.0	S I J AA H A T_D
لکھتے 1.0	L I K_H T_D AE
موجودہ 1.0	M OO D_ZZ UU D_D AA
ایونیو 1.0	AY V A N J UU
بلوچوں 1.0	B A L OO T_SH OON
زیراستعمال 1.0	Z AE R AE I S T_D I M AA L
گلدستہ 1.0	G U L D_D A S T_D AA
ہول 1.0	H O L
سیلز 1.0	S AY L Z
کاروبار 1.0	K AA R OO B AA R
مستغرق 1.0	M U S T_D A 7 R A Q
محترمہ 1.0	M OO H T_D A R M AA
پروین 1.0	P I R A V II N
مینگل 1.0	M AY NG G A L
دوراں 1.0	D_D O R AAN
نامی 1.0	N AA M II
مدرسہ 1.0	M A D_D R I S AA
پرنسپل 1.0	P I R I N S I P A L
دوست 1.0	D_D OO S T_D
رفعت 1.0	R I F A T_D
لغاری 1.0	L A 7 AA R II
موسمیات 1.0	M O S I M J AA T_D
سیاست 1.0	S I J AA S A T_D
مسائل 1.0	M A S AA I L
شدید 1.0	SH A D_D II D_D
بیزار 1.0	B AE Z AA R
آرگنائزیشن 1.0	AA R G N AA I Z AE SH A N
چیئرمین 1.0	T_SH AE A R M AY N
بعدازاں 1.0	B AA D_D A Z AAN
شائقین 1.0	SH AA I Q II N
اجازت 1.0	I D_ZZ AA Z A T_D
طلب 1.0	T_D A L A B
وزیراعلی 1.0	V A Z II R AE AA L AA
انجمن 1.0	A N D_ZZ U M A N
متحدہ 1.0	M U T_D T_D A H I D_D AA
کنونشن 1.0	K A N V I N SH A N
بالخصوص 1.0	B I L X U S UU S
درآمدات 1.0	D_D A R A AA M D_D AA T_D
وقعت 1.0	V U Q A A T_D
بیان 1.0	B A J AA N
گاڑی 1.0	G AA RR II
ریورس 1.0	R II V A R S
لہجے 1.0	L E H D_ZZ AE
شیخی 1.0	SH AE X II
کہانی 1.0	K A H AA N II
زرمبادلہ 1.0	Z A R AE M U B AA D_D A L AA
ڈھنڈورا 1.0	DD_H A N DD OO R AA
لیفٹیننٹ 1.0	L AE F TT II N A N TT
مزاج 1.0	M I Z AA D_ZZ
لفظیات 1.0	L A F Z I J AA T_D
ورژن 1.0	V A R ZZ A N
سیونگ 1.0	S AE V I NG
جیوری 1.0	D_ZZ I J UU R II
گزارنے 1.0	G U Z AA R N AE
سردخانے 1.0	S A R D_D X AA N AE
دستاویزی 1.0	D_D A S T_D AA V II Z II
موومنٹ 1.0	M UU V M I N TT
رفیوجی 1.0	R I F I J UU D_ZZ II
ڈیزرٹ 1.0	DD AY Z A R TT
میواتی 1.0	M II V AA T_D II
ہجے 1.0	H I D_ZZ D_ZZ AE
حقوق 1.0	H U Q UU Q
تھیوری 1.0	T_D_H I J UU R II
کھلیں 1.0	K_H U L AEN
نائب 1.0	N AA I B
محرر 1.0	M U H A R R I R
ہتھوڑے 1.0	H A T_D_H OO RR AE
مدد 1.0	M A D_D A D_D
تقریباً 1.0	T_D A Q R II B A N
سینٹر 1.0	S AY N TT A R
بیلٹ 1.0	B E L TT
مضروب 1.0	M A Z R UU B
اے 1.0	AE
ضوفشاں 1.0	Z O F A SH AAN
کہکشاؤں 1.0	K A H K A SH AA OON
لالچی 1.0	L AA L T_SH II
لوگو 1.0	L OO G OO
افسوس 1.0	A F S OO S
عفو 1.0	A F V
صبر 1.0	S A B R
بولنے 1.0	B OO L N AE
حد 1.0	H A D_D
تک 1.0	T_D A K
سینما 1.0	S II N M AA
گھروں 1.0	G_H A R OON
رسیا 1.0	R A S J AA
بوڑھا 1.0	B UU RR_H AA
حبشی 1.0	H A B SH II
لیڈر 1.0	L II DD A R
عجیب 1.0	A D_ZZ II B
مسحور 1.0	M A S H UU R
آواز 1.0	AA V AA Z
رکھتا 1.0	R A K_H T_D AA
راولا 1.0	R AA V L AA
اینگلو 1.0	AY NG L OO
سکول 1.0	S A K UU L
اٹھاسی 1.0	A TT TT_H AA S II
واں 1.0	V AAN
صدر 1.0	S A D_D R
حجاج 1.0	H U D_ZZ D_ZZ AA D_ZZ
ترمیم 1.0	T_D A R M II M
تجویز 1.0	T_D A D_ZZ V II Z
مشورہ 1.0	M A SH V A R AA
سوچنے 1.0	S OO T_SH N AE
ایسے 1.0	AY S AE
عہدے 1.0	U H D_D AE
بزرگ 1.0	B U Z U R G
صحافیوں 1.0	S I H AA F II OON
لکھنے 1.0	L I K_H N AE
دکھاوے 1.0	D_D I K_H AA V AE
کھیر 1.0	K_H II R
زہریلی 1.0	Z E H R II L II
ترقیوں 1.0	T_D A R A Q Q II OON
سوغات 1.0	S OO 7 AA T_D
میزبان 1.0	M AE Z B AA N
موقع 1.0	M O Q AA
پہلو 1.0	P E H L UU
کمرے 1.0	K A M R AE
گھسے 1.0	G_H U S AE
متاخرین 1.0	M U T_D A A X X AE R II N
پورے 1.0	P UU R AE
مقابلے 1.0	M U Q AA B L AE
سرکاری 1.0	S A R K AA R II
انفورسمنٹ 1.0	I N F OO R S M E N TT
فورس 1.0	F OO R S
شمولیت 1.0	SH A M UU L I J A T_D
چھوڑیں 1.0	T_SH_H OO RR AEN
کھوسٹ 1.0	K_H UU S A TT
کردار 1.0	K I R D_D AA R
بھیجیں 1.0	B_H AE D_ZZ AEN
جسٹس 1.0	D_ZZ A S TT I S
کلیم 1.0	K A L AE M
رعیت 1.0	R A Y I J A T_D
دشوار 1.0	D_D U SH V AA R
گیر 1.0	G AE R
مشغلہ 1.0	M A SH 7 A L AA
جَلد 1.0	D_ZZ I L D_D
پوچھیے 1.0	P UU T_SH_H II AE
نیز 1.0	N II Z
ذہنی 1.0	Z I H N II
رجوع 1.0	R U D_ZZ UU
نتائج 1.0	N A T_D AA AE D_ZZ
دیکھیے 1.0	D_D AE K_H II AE
عزت 1.0	I Z Z A T_D
مآب 1.0	M A AA B
رخشندہ 1.0	R A X SH A N D_D AA
ڈسٹرکٹ 1.0	DD I S TT I R I K TT
کمیونٹی 1.0	K A M J UU N I TT II
ڈویژن 1.0	DD A V II ZZ A N
سیر 1.0	S AE R
کرائیں 1.0	K A R AA IIN
میتھائل 1.0	M II T_D_H AA I L
زچگی 1.0	Z A T_SH G II
سنٹر 1.0	S E N TT A R
پہنچائیں 1.0	P A H U N T_SH AA AEN
آکسیجن 1.0	AA K S II D_ZZ A N
کاربن 1.0	K AA R B A N
یورینیئم 1.0	J UU R II N II A M
اوہام 1.0	O H AA M
سوچیے 1.0	S OO T_SH II AE
بھید 1.0	B_H AE D_D
جید 1.0	D_ZZ AY J A D_D
عندیہ 1.0	I N D_D II J AA
سگے 1.0	S A G AE
بھائیوں 1.0	B_H AA I J OON
کھو 1.0	K_H OO
سلطان 1.0	S U L T_D AA N
زرقاوی 1.0	Z A R Q AA V II
ڈھے 1.0	DD_H AY
موسلادھار 1.0	M UU S L AA D_D_H AA R
دعائیں 1.0	D_D U AA AEN
تخلیق 1.0	T_D A X L II Q
رنجیدہ 1.0	R A N D_ZZ II D_D AA
خاطر 1.0	X AA T_D I R
موو 1.0	M UU V
فورسڈ 1.0	F OO R S DD
پیشن 1.0	P AE SH U N
